open_time,close_time,open_price,close_price
2021-02-20 23:00:00.000,2021-02-20 23:04:59.999,0.00475270,0.00467670
2021-02-20 23:05:00.000,2021-02-20 23:09:59.999,0.00467710,0.00465470
2021-02-20 23:10:00.000,2021-02-20 23:14:59.999,0.00465460,0.00461520
2021-02-20 23:15:00.000,2021-02-20 23:19:59.999,0.00461180,0.00455840
2021-02-20 23:20:00.000,2021-02-20 23:24:59.999,0.00455840,0.00452950
2021-02-20 23:25:00.000,2021-02-20 23:29:59.999,0.00452860,0.00455090
2021-02-20 23:30:00.000,2021-02-20 23:34:59.999,0.00454830,0.00457700
2021-02-20 23:35:00.000,2021-02-20 23:39:59.999,0.00457950,0.00456650
2021-02-20 23:40:00.000,2021-02-20 23:44:59.999,0.00456100,0.00457190
2021-02-20 23:45:00.000,2021-02-20 23:49:59.999,0.00457200,0.00450460
2021-02-20 23:50:00.000,2021-02-20 23:54:59.999,0.00450330,0.00448480
2021-02-20 23:55:00.000,2021-02-20 23:59:59.999,0.00448450,0.00447660
2021-02-21 00:00:00.000,2021-02-21 00:04:59.999,0.00447110,0.00441500
2021-02-21 00:05:00.000,2021-02-21 00:09:59.999,0.00441350,0.00448220
2021-02-21 00:10:00.000,2021-02-21 00:14:59.999,0.00447910,0.00450000
2021-02-21 00:15:00.000,2021-02-21 00:19:59.999,0.00449860,0.00443380
2021-02-21 00:20:00.000,2021-02-21 00:24:59.999,0.00442780,0.00445600
2021-02-21 00:25:00.000,2021-02-21 00:29:59.999,0.00445730,0.00443830
2021-02-21 00:30:00.000,2021-02-21 00:34:59.999,0.00444190,0.00424970
2021-02-21 00:35:00.000,2021-02-21 00:39:59.999,0.00424580,0.00423810
2021-02-21 00:40:00.000,2021-02-21 00:44:59.999,0.00424100,0.00425830
2021-02-21 00:45:00.000,2021-02-21 00:49:59.999,0.00424910,0.00435250
2021-02-21 00:50:00.000,2021-02-21 00:54:59.999,0.00434710,0.00447350
2021-02-21 00:55:00.000,2021-02-21 00:59:59.999,0.00447360,0.00439010
2021-02-21 01:00:00.000,2021-02-21 01:04:59.999,0.00438980,0.00451840
2021-02-21 01:05:00.000,2021-02-21 01:09:59.999,0.00451760,0.00458440
2021-02-21 01:10:00.000,2021-02-21 01:14:59.999,0.00457760,0.00462620
2021-02-21 01:15:00.000,2021-02-21 01:19:59.999,0.00462490,0.00460400
